Year,Regn,Aslt,Fraud,Drug,Thief,Popln,Incme,StnNo,Police,Float,Unemp,CPI,Aging,Dens,Estab,Multi,Crime_Aslt,Crime_Fraud,Crime_Drug,Crime_Thief,Crime
2020,경기시흥,1517,3763,127,1778,533305,2554020,12,763,541,5.6,115.8,63.3,3811.227042,286,8142,284.4526115,705.599985,23.81376511,333.3927115,1347.259073
2020,경기안산,2726,5462,151,3007,706185,2548268,22,1336,712,5.5,115.8,98,4513.229373,421,11392,386.0178282,773.4517159,21.38249892,425.809101,1606.661144
2020,경기안성,665,977,43,789,198234,2540914,10,344,225,3.2,115.8,143.6,358.1657542,82,1953,335.4621306,492.8518821,21.69153627,398.0144678,1248.020017
2020,경기안양,1423,2795,110,1822,556570,2514182,10,925,538,4.6,115.8,117.2,9514.017094,377,2876,255.6731408,502.1830138,19.7639111,327.3622366,1104.982302
2020,경기양주,695,1143,74,503,237370,2161725,27,345,210,4.7,115.8,117.3,764.4766506,86,1923,292.791844,481.5267304,31.17495892,211.905464,1017.398997
2020,경기여주,325,637,24,395,115358,2190536,11,283,119,1.9,115.8,202.7,189.6742794,40,860,281.7316528,552.1940394,20.80479897,342.4123164,1197.142808
2020,경기오산,686,1495,40,890,238956,2228112,4,352,242,5.5,115.8,59.9,5597.470134,133,3130,287.0821406,625.6381928,16.73948342,372.4535061,1301.913323
2020,경기용인,1777,4504,83,2587,1090907,2642276,22,1094,991,3.9,115.8,89.5,1845.117042,199,5312,162.8919789,412.867458,7.608347916,237.1421212,820.509906
2020,경기의왕,243,661,11,238,164857,2407708,4,235,158,4.1,115.8,110.8,3051.212289,16,666,147.4004744,400.9535537,6.672449456,144.3675428,699.3940203
2020,경기의정부,1952,2961,108,1507,466455,1856726,7,767,423,4.3,115.8,128.5,5719.865113,260,2671,418.4755228,634.7879217,23.15335884,323.0751091,1399.491912
2020,경기이천,712,1379,47,775,225418,3082124,13,391,246,2.8,115.8,102.9,488.3511341,99,1582,315.8576511,611.7523889,20.85015394,343.8057298,1292.265924
2020,경기파주,1065,2809,92,987,476272,2296115,13,598,445,3.1,115.8,92.4,706.7713357,142,3394,223.6117177,589.7890281,19.31669298,207.2345214,1039.95196
2020,경기평택,2166,5324,119,2058,560475,2774758,16,849,540,3.6,115.8,84.1,1222.196781,660,6068,386.4579152,949.9085597,21.23199072,367.1885454,1724.787011
