,2018,2019,2020,2021,2022
전라북도 정읍시,1810286,1881803.19,1936211.004,2036357.883,2173118.825
전라북도 남원시,1686999,1753645.612,1804348.058,1897674.573,2025121.602
전라북도 김제시,1979854,2058070.146,2117574.296,2227101.85,2376673.077
전라북도 완주군,2243519,2332151.5,2399580.053,2523693.826,2693184.046
전라북도 진안군,1704945,1772300.587,1823542.397,1917861.703,2046664.491
전라북도 무주군,1732371,1800810.079,1852876.172,1948712.713,2079587.442
전라북도 장수군,1666107,1731928.252,1782002.793,1874173.541,2000042.251
전라북도 임실군,1737185,1805814.261,1858025.038,1954127.894,2085366.305
전라북도 순창군,1688645,1755356.639,1806108.555,1899526.128,2027097.507
전라북도 고창군,1683283,1749782.807,1800373.57,1893494.512,2020660.81
전라북도 부안군,1732616,1810671.399,1862423.197,1955555.05,2072424.297
전라남도 목포시,1719236,1796688.622,1848040.771,1940453.419,2056420.153
전라남도 여수시,2353688,2459723.068,2530025.77,2656541.584,2815303.679
전라남도 순천시,1866934,1951040.506,2006804.271,2107156.006,2233085.336
전라남도 나주시,3113178,3253428.552,3346416.589,3513756.631,3723748.21
전라남도 광양시,2333251,2438365.369,2508057.635,2633474.916,2790858.484
전라남도 담양군,1919685,2006167.97,2063507.364,2166694.579,2296182.095
전라남도 곡성군,1744248,1822827.427,1874926.664,1968683.762,2086337.616
전라남도 구례군,1671493,1746794.771,1796720.876,1886567.235,1999313.585
전라남도 고흥군,1633216,1706793.369,1755576.172,1843365.059,1953529.53
전라남도 보성군,1679129,1754774.777,1804928.963,1895185.774,2008447.191
전라남도 화순군,2062360,2155270.565,2216871.543,2327727.847,2466839.146
전라남도 장흥군,1679190,1754838.525,1804994.533,1895254.623,2008520.154
전라남도 강진군,1700589,1777201.563,1827996.742,1919407.074,2034116.021
전라남도 해남군,1788135,1868691.563,1922101.668,2018217.787,2138831.929
전라남도 영암군,2329329,2434266.68,2503841.8,2629048.265,2786167.284
전라남도 무안군,1783859,1864222.927,1917505.311,2013391.585,2133717.301
전라남도 함평군,1826270,1908544.568,1963093.734,2061259.691,2184446.133
전라남도 영광군,1840553,1923471.026,1978446.813,2077380.512,2201530.378
전라남도 장성군,2018537,2109473.313,2169765.334,2278266.057,2414421.386
전라남도 완도군,1636068,1709773.853,1758641.843,1846584.032,1956940.877
전라남도 진도군,1646850,1721041.588,1770231.628,1858753.373,1969837.491
전라남도 신안군,1565294,1618025.86,1655194.498,1732644.417,1834080.009
경상북도 포항시,2585727,2672835.361,2734234.657,2862175.062,3029737.672
경상북도 경주시,2588636,2675842.36,2737310.731,2865395.072,3033146.194
경상북도 김천시,2476930,2560373.191,2619189.051,2741746.238,2902258.488
경상북도 안동시,1854599,1917077.011,1961115.33,2052879.908,2173063.304
경상북도 구미시,2351791,2431018.49,2486862.866,2603228.241,2755631.12
경상북도 영주시,1862650,1925399.234,1969628.729,2061791.666,2182496.789
경상북도 영천시,2223838,2298754.99,2351561.062,2461595.391,2605706.544
경상북도 상주시,1749071,1807993.967,1849526.476,1936069.584,2049414.459
경상북도 문경시,1788218,1848459.757,1890921.829,1979401.911,2095283.625
경상북도 경산시,2111205,2182327.592,2232459.141,2336920.449,2473732.657
경상북도 군위군,1865605,1928453.782,1972753.445,2065062.594,2185959.21
경상북도 의성군,1674522,1730933.549,1770695.857,1853550.32,1962064.203
경상북도 청송군,1611175,1665452.506,1703710.609,1783430.697,1887839.51
경상북도 영양군,1570681,1623594.338,1660890.893,1738607.358,1840392.043
경상북도 영덕군,1731845,1790187.655,1831311.124,1917001.899,2029230.479
경상북도 청도군,1783680,1843768.881,1886123.196,1974378.739,2089966.377
경상북도 고령군,2171767,2244929.814,2296499.436,2403957.319,2544694.121
경상북도 성주군,2048485,2117494.671,2166136.905,2267494.86,2400242.63
경상북도 칠곡군,2171821,2244985.633,2296556.538,2404017.092,2544757.393
